% The water continuum used by the December 2002 "version 7" AIRS
% fast model coefficient is a hybrid of kCARTA's 51 (aka 5.1) and
% 55 (aka 5.5) continuum models developed by UMBC based on the
% CDK models.
%
% Scott Hannon, 13 March 2003
%
% ID = AIRS channel ID (PGE version)
% freq = channel centroid frequency (cm^-1)
% CKD = kCARTA continuum version number
% mult = multiplier applied to the kCARTA continuum 
%
% in SPECTRA/ckd_lookupBIN_v60special.m we combine CKD 51 and CKD 55 as below
%
% ID    freq   CKD   mult
%---- -------- --- --------
  680  873.874  51  0.87000
  681  874.198  51  0.87000
  682  874.523  51  0.87000
  683  874.847  51  0.87000
  684  875.172  51  0.87000
  685  875.498  51  0.87000
  686  875.823  51  0.87000
  687  876.149  51  0.87000
  688  876.475  51  0.87000
  689  876.802  51  0.87000
  690  877.128  51  0.87000
  691  877.455  51  0.87000
  692  877.783  51  0.87000
  693  878.110  51  0.87000
  694  878.438  51  0.87000
  695  878.766  51  0.87000
  696  879.094  51  0.87000
  697  879.422  51  0.87000
  698  879.751  51  0.87000
  699  880.080  51  0.87000
  700  880.409  51  0.87000
  701  880.739  51  0.87000
  702  881.069  51  0.87000
  703  881.399  51  0.87000
  704  881.729  51  0.87000
  705  882.060  51  0.87000
  706  882.390  51  0.87000
  707  882.721  51  0.87000
  708  883.053  51  0.87000
  709  883.384  51  0.87000
  710  883.716  51  0.87000
  711  884.049  51  0.87000
  712  884.381  51  0.87000
  713  884.714  51  0.87000
  714  885.047  51  0.87000
  715  885.380  51  0.87000
  716  885.713  51  0.87000
  717  886.047  51  0.87000
  718  886.381  51  0.87000
  719  886.715  51  0.87000
  720  887.050  51  0.87000
  721  887.385  51  0.87000
  722  887.720  51  0.87000
  723  888.055  51  0.87000
  724  888.391  51  0.87000
  725  888.727  51  0.87000
  726  889.063  51  0.87000
  727  889.399  51  0.87000
  728  889.736  51  0.87000
  729  890.073  51  0.87000
  730  890.410  51  0.87000
  731  890.748  51  0.87000
  732  891.086  51  0.87000
  733  891.424  51  0.87000
  734  891.762  51  0.87000
  735  892.101  51  0.87000
  736  892.440  51  0.87000
  737  892.779  51  0.87000
  738  893.118  51  0.87000
  739  893.458  51  0.87000
  740  893.798  51  0.87000
  741  894.138  51  0.87000
  742  894.479  51  0.87000
  743  894.820  51  0.87000
  744  895.161  51  0.87000
  745  895.502  51  0.87000
  746  895.844  51  0.87000
  747  896.185  51  0.87000
  748  896.528  51  0.87000
  749  896.870  51  0.87000
  750  897.213  51  0.87000
  751  897.556  51  0.87000
  752  897.899  51  0.87000
  753  898.243  51  0.87000
  754  898.586  51  0.87000
  755  898.931  51  0.87000
  756  899.275  51  0.87000
  757  899.620  51  0.87000
  758  899.965  51  0.87000
  759  900.310  51  0.87000
  760  900.655  51  0.87000
  761  901.001  51  0.87000
  762  901.347  51  0.87000
  763  901.694  51  0.87000
  764  902.040  51  0.87000
  765  902.387  51  0.87000
  766  902.734  51  0.87000
  767  903.082  51  0.87000
  768  903.429  51  0.87000
  769  903.778  51  0.87000
  770  911.235  51  0.87000
  771  911.590  51  0.87000
  772  911.945  51  0.87000
  773  912.301  51  0.87000
  774  912.656  51  0.87000
  775  913.012  51  0.87000
  776  913.369  51  0.87000
  777  913.725  51  0.87000
  778  914.082  51  0.87000
  779  914.439  51  0.87000
  780  914.796  51  0.87000
  781  915.154  51  0.87000
  782  915.512  51  0.87000
  783  915.870  51  0.87000
  784  916.229  51  0.87000
  785  916.588  51  0.87000
  786  916.947  51  0.87000
  787  917.306  51  0.87000
  788  917.666  51  0.87000
  789  918.026  51  0.87000
  790  918.386  51  0.87000
  791  918.747  51  0.87000
  792  919.108  51  0.87000
  793  919.469  51  0.87000
  794  919.830  51  0.87000
  795  920.192  51  0.87000
  796  920.554  51  0.87000
  797  920.917  51  0.87000
  798  921.279  51  0.87000
  799  921.642  51  0.87000
  800  922.005  51  0.87000
  801  922.369  51  0.87000
  802  922.733  51  0.87000
  803  923.097  51  0.87000
  804  923.461  51  0.87000
  805  923.826  51  0.87000
  806  924.191  51  0.87000
  807  924.556  51  0.87000
  808  924.922  51  0.87000
  809  925.288  51  0.87000
  810  925.654  51  0.87000
  811  926.021  51  0.87000
  812  926.387  51  0.87000
  813  926.754  51  0.87000
  814  927.122  51  0.87000
  815  927.490  51  0.87000
  816  927.858  51  0.87000
  817  928.226  51  0.87000
  818  928.594  51  0.87000
  819  928.963  51  0.87000
  820  929.333  51  0.87000
  821  929.702  51  0.87000
  822  930.072  51  0.87000
  823  930.442  51  0.87000
  824  930.812  51  0.87000
  825  931.183  51  0.87000
  826  931.554  51  0.87000
  827  931.925  51  0.87000
  828  932.297  51  0.87000
  829  932.669  51  0.87000
  830  933.041  51  0.87000
  831  933.414  51  0.87000
  832  933.787  51  0.87000
  833  934.160  51  0.87000
  834  934.533  51  0.87000
  835  934.907  51  0.87000
  836  935.281  51  0.87000
  837  935.655  51  0.87000
  838  936.030  51  0.87000
  839  936.405  51  0.87000
  840  936.780  51  0.87000
  841  937.156  51  0.87000
  842  937.532  51  0.87000
  843  937.908  51  0.87000
  844  938.285  51  0.87000
  845  938.662  51  0.87000
  846  939.039  51  0.87000
  847  939.416  51  0.87000
  848  939.794  51  0.87000
  849  940.172  51  0.87000
  850  940.550  51  0.87000
  851  940.929  51  0.87000
  852  941.308  51  0.87000
  853  941.688  51  0.87000
  854  942.067  51  0.87000
  855  942.447  51  0.87000
  856  942.827  51  0.87000
  857  943.208  51  0.87000
  858  943.589  51  0.87000
  859  943.970  51  0.87000
  860  944.352  51  0.87000
  861  944.734  51  0.87000
  862  945.116  51  0.87000
  863  945.498  51  0.87000
  864  945.881  51  0.87000
  865  946.264  51  0.87000
  866  946.647  51  0.87000
  867  947.031  51  0.87000
  868  947.415  51  0.87000
  869  947.800  51  0.87000
  870  948.184  51  0.87000
  871  948.569  51  0.87000
  872  948.955  51  0.87000
  873  949.340  51  0.87000
  874  949.726  51  0.87000
  875  950.113  51  0.87000
  876  950.499  51  0.87000
  877  950.886  51  0.87000
  878  951.273  51  0.87000
  879  951.661  51  0.87000
  880  952.049  51  0.87000
  881  952.437  51  0.87000
  882  952.826  51  0.87000
  883  953.214  51  0.87000
  884  953.604  51  0.87000
  885  953.993  51  0.87000
  886  954.383  51  0.87000
  887  954.773  51  0.87000
